"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SVM","Silvercorp Metals Inc","7.21","1261216460","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/svm",
"AAZ^K","SiM Internal Test 1","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaz^k",
"ZYZ^K","SiM Internal Test 11","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/zyz^k",
"DDZ^K","SiM Internal Test 3","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ddz^k",
"FFZ^K","SiM Internal Test 4","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ffz^k",
"IIZ^K","SiM Internal Test 5","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iiz^k",
"SCR","Simcere Pharmaceutical Group","8.99","171421320","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/scr",
"SPG","Simon Property Group, Inc.","131.66","39191495520","n/a","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/spg",
"SPG^J","Simon Property Group, Inc.","65","51805000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/spg^j",
"SSD","Simpson Manufacturing Company, Inc.","32.82","1580644020","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ssd",
"HOT","Starwood Hotels & Resorts Worldwide, Inc.","53.55","10460028600","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/hot",
"STWD","STARWOOD PROPERTY TRUST, INC.","19.28","1793213520","n/a","2009","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/stwd",
"STC","Stewart Information Services Corporation","12.92","235764160","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/stc",
"STM","STMicroelectronics N.V.","7.3","700610200","n/a","1984","Technology","Semiconductors","http://www.nasdaq.com/symbol/stm",
"STON","StoneMor Partners L.P.","26.07","504897690","n/a","1994","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ston",
"SRI","Stoneridge, Inc.","9.19","235043440","n/a","1997","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/sri",
"SFSF","SuccessFactors, Inc.","39.89","3358618330","n/a","2007","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/sfsf",
"SMFG","Sumitomo Mitsui Financial Group Inc","6.14","420982960","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/smfg",
"SXC","SunCoke Energy, inc.","13.3","931079800","n/a","1997","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sxc",
"SHO","Sunstone Hotel Investors, Inc.","8.87","1052620640","n/a","1998","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/sho",
"SHO^A","Sunstone Hotel Investors, Inc.","24.3057","171355185","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sho^a",
"SHO^D","Sunstone Hotel Investors, Inc.","23.49","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sho^d",
"STP","Suntech Power Holdings Co., LTD.","3.24","419793840","n/a","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/stp",
"STI","SunTrust Banks, Inc.","21.29","11432666130","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/sti",
"STI/WS/A","SunTrust Banks, Inc.","4.49","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti/ws/a",
"STI/WS/B","SunTrust Banks, Inc.","2.95","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti/ws/b",
"STI^A","SunTrust Banks, Inc.","20.71","1035500","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti^a",
"STI^Z","SunTrust Banks, Inc.","25.87","620880000","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sti^z",
"SYX","Systemax Inc.","17.3","629581600","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/syx",
